USGS,IFA,IFA_Region
Algeria,Algeria,Africa
Australia,Australia,Oceania
Brazil,Brazil,Latin America
Canada,Canada,North America
Chile,Chile,Latin America
China,China,East Asia
Colombia,Colombia,Latin America
Egypt,Egypt,Africa
Finland,Finland,West Europe
Guinea-Bissau,NA,Africa
India,India,South Asia
Indonesia,Indonesia,East Asia
Iran,Iran,West Asia
Iraq,Iraq,West Asia
Israel,Israel,West Asia
Jordan,Jordan,West Asia
Kazakhstan,Kazakhstan,Eastern Europe And Central Asia
"Korea, North",Korea D.P.R.,East Asia
Malawi,Others,Africa
Mexico,Mexico,Latin America
Morocco,Morocco,Africa
Nauru,Nauru,Oceania
Pakistan,Pakistan,South Asia
Peru,Perú,Latin America
Philippines,Philippines,East Asia
Russia,Russian Federation,Eastern Europe And Central Asia
Saudi Arabia,Saudi Arabia,West Asia
Senegal,Senegal,Africa
South Africa,South Africa,Africa
Sri Lanka,Sri Lanka,South Asia
Syria,Syria,West Asia
Tanzania,Tanzania,Africa
Thailand,Thailand,East Asia
Togo,Togo,Africa
Tunisia,Tunisia,Africa
Turkey,Turkey,West Asia
United States,USA,North America
Uzbekistan,Uzbekistan,Eastern Europe And Central Asia
Venezuela,Venezuela,Latin America
Vietnam,Viet Nam,East Asia
Zimbabwe,Zimbabwe,Africa
