"Name","Confidence","Value","Source"
"Phalaborwa","High",0.135654662725074,"Plant_3"
"Siilinjarvi","High",0.091,"Plant_7"
"San Juan de la Costa","Low",0.438,"Plant_11"
"Bayovar","Medium",0.331,"Plant_15"
"Hahotoe-Kpogame","Low",0.5,"Plant_19"
"Lac a Paul","High",0.1604,"Plant_23"
"Martison","High",0.421,"Plant_27"
"Djebel Onk","Low",0.25,"Plant_31"
"Al Jalamid","High",0.433,"Plant_35"
"Umm Wu’al","High",0.393,"Plant_39"
"Eshidiya","Low",0.357,"Plant_43"
"Central Jordan (Al Hassa and Al Abiad)","Low",0.625,"Plant_47"
"Ruseifa","Low",0.625,"Plant_51"
"Abu Tartur","High",0.8,"Plant_55"
"Nile Valley","Medium",0.625,"Plant_59"
"Red Sea","Medium",0.625,"Plant_63"
"Gafsa","High",0.646,"Plant_67"
"Taiba-Tobene","Low",0.233,"Plant_71"
"Thies-Lam Lam","Low",0.52,"Plant_75"
"Matam-Ndendory","Low",1,"Plant_79"
"Gadde Bissik","High",0.3375,"Plant_83"
"Phosphate Hill-Duchess","Low",0.863970588235294,"Plant_87"
"Negev","High",0.458,"Plant_91"
"Jhamarkotra","High",0.589,"Plant_95"
"Araxa/Patrocinio","Medium",0.229,"Plant_99"
"Cajati","Medium",0.117,"Plant_103"
"Catalao","Medium",0.14,"Plant_107"
"Tapira","Medium",0.146,"Plant_111"
"Ouvidor","High",0.241,"Plant_115"
"Angico dos Dias","Low",0.413333333333333,"Plant_119"
"Florida","Low",0.251071428571429,"Plant_123"
"Aurora","Low",0.65,"Plant_127"
"White Springs","Low",0.232473544973545,"Plant_131"
"Smoky Canyon","Medium",0.667,"Plant_135"
"Vernal","High",0.374,"Plant_139"
"Conda","High",0.678935842880524,"Plant_143"
"Kola","High",0.283,"Plant_147"
"Kovdor","Medium",0.18,"Plant_151"
"Khouribga","Medium",0.866,"Plant_155"
"Gantour","Medium",0.863,"Plant_159"
"Meskala","Low",0.863,"Plant_163"
"Boucraa","Medium",0.911,"Plant_167"
"Lao Cai","Low",0.383870967741935,"Plant_171"
"Eastern Mines","Medium",0.56,"Plant_175"
"Khneifiss","High",1,"Plant_179"
"Chilisai","High",0.52,"Plant_183"
"Karatau-EuroChem","Low",0.599487179487179,"Plant_187"
"Karatau-Kazphosphate","Medium",0.918367346938776,"Plant_191"
"Karatau-Chulaktau","Low",0.484927152317881,"Plant_195"
"Farim-Saliquinhe","High",0.78635119047619,"Plant_199"
"Haikou","High",0.647,"Plant_203"
"Salitre","Medium",0.259357541899441,"Plant_207"
